Dewey Decimal Number,Call Number,Title,Author,Publisher,Publication Year,ISBN,Format,Language,Genre/Subject,Shelf Location,Acquisition Date,Acquisition Source,Cost,Condition,Availability Status,Borrower Name,Borrow Date,Due Date,Return Date,Notes
823.7,AUS-1813,Pride and Prejudice,Jane Austen,T. Egerton,1813,9.78014E+12,Paperback,English,Fiction/Romance,FIC AUS,1/10/2022,Donated,0,Good,Available,,,,,
823.912,ORW-1949,1984,George Orwell,Secker & Warburg,1949,9.78045E+12,Paperback,English,Dystopian Fiction,FIC ORW,3/15/2022,Purchased,1200,Excellent,Available,,,,,
823.914,GOL-1954,Lord of the Flies,William Golding,Faber and Faber,1954,9.78057E+12,Paperback,English,Allegorical Fiction,FIC GOL,7/21/2021,Purchased,950,Good,Available,,,,,
822.33,SHA-HAM,Hamlet,William Shakespeare,Simon & Schuster,1603,9.78074E+12,Paperback,English,Tragedy/Drama,DRA SHA,11/11/2020,Donated,0,Fair,Available,,,,,
823,BRO-1847,Jane Eyre,Charlotte Brontë,"Smith, Elder & Co.",1847,9.78014E+12,Paperback,English,Gothic Fiction,FIC BRO,8/9/2022,Purchased,1050,Good,Available,,,,,
823.914,GRA-1847,Wuthering Heights,Emily Brontë,Thomas Cautley Newby,1847,9.78014E+12,Paperback,English,Gothic Fiction,FIC GRA,2/14/2023,Donated,0,Excellent,Available,,,,,
823.912,FOR-1925,A Passage to India,E.M. Forster,Edward Arnold,1924,9.78016E+12,Paperback,English,Historical Fiction,FIC FOR,6/18/2021,Purchased,1100,Good,Available,,,,,
823,HAR-1960,To Kill a Mockingbird,Harper Lee,J.B. Lippincott & Co.,1960,9.78006E+12,Paperback,English,Southern Gothic,FIC HAR,10/3/2022,Donated,0,Good,Available,,,,,
823.8,DIC-1859,A Tale of Two Cities,Charles Dickens,Chapman & Hall,1859,9.78014E+12,Paperback,English,Historical Fiction,FIC DIC,1/20/2021,Purchased,980,Fair,Available,,,,,
823.8,HUG-1862,Les Misérables,Victor Hugo,"A. Lacroix, Verboeckhoven & Cie.",1862,9.78045E+12,Paperback,English,Historical Fiction,FIC HUG,5/6/2023,Purchased,1150,Excellent,Available,,,,,
